timestamp_ms,adc_value,label
0,1986,normal
1,2047,normal
2,2120,normal
3,2021,normal
4,2021,normal
5,2013,normal
6,2026,normal
7,2004,normal
8,2026,normal
9,2070,normal
10,2057,normal
11,2209,normal
12,2007,normal
13,2136,normal
14,2127,normal
15,2027,normal
16,2087,normal
17,2030,normal
18,2098,normal
19,1953,normal
20,2072,normal
21,2047,normal
22,1995,normal
23,1999,normal
24,2099,normal
25,2055,normal
26,2090,normal
27,2055,normal
28,2036,normal
29,2035,normal
30,2008,normal
31,2005,normal
32,2038,normal
33,2067,normal
34,2043,normal
35,2052,normal
36,2080,normal
37,2015,normal
38,2020,normal
39,2030,normal
40,2088,normal
41,2053,normal
42,2046,normal
43,2030,normal
44,2021,normal
45,2070,normal
46,2021,normal
47,1982,normal
48,1986,normal
49,2094,normal
50,2012,normal
51,1976,normal
52,2053,normal
53,1946,normal
54,2055,normal
55,2049,normal
56,2122,normal
57,2080,normal
58,2042,normal
59,2043,normal
60,2086,normal
61,2042,normal
62,2069,normal
63,2007,normal
64,2070,normal
65,2041,normal
66,1946,normal
67,2095,normal
68,2055,normal
69,2062,normal
70,2016,normal
71,2000,normal
72,2094,normal
73,2048,normal
74,2012,normal
75,2053,normal
76,1974,normal
77,1976,normal
78,2092,normal
79,2070,normal
80,2139,normal
81,2064,normal
82,1959,normal
83,2074,normal
84,2008,normal
85,2009,normal
86,1956,normal
87,2045,normal
88,2060,normal
89,2061,normal
90,2012,normal
91,1968,normal
92,1939,normal
93,2060,normal
94,2021,normal
95,2061,normal
96,2066,normal
97,1980,normal
98,2026,normal
99,2069,normal
100,2056,normal
101,2072,normal
102,2070,normal
103,2022,normal
104,2126,normal
105,2065,normal
106,2104,normal
107,2030,normal
108,2060,normal
109,2108,normal
110,2036,normal
111,2094,normal
112,2029,normal
113,2039,normal
114,2080,normal
115,2114,normal
116,2130,normal
117,2006,normal
118,2027,normal
119,2051,normal
120,2096,normal
121,2049,normal
122,1990,normal
123,2138,normal
124,2021,normal
125,2075,normal
126,2084,normal
127,2026,normal
128,1989,normal
129,2130,normal
130,2001,normal
131,2121,normal
132,2071,normal
133,2030,normal
134,1983,normal
135,1974,normal
136,2042,normal
137,2040,normal
138,2038,normal
139,2094,normal
140,2058,normal
141,2005,normal
142,2087,normal
143,2071,normal
144,2146,normal
145,2117,normal
146,1981,normal
147,2122,normal
148,2086,normal
149,2024,normal
150,2026,normal
151,1987,normal
152,2116,normal
153,1985,normal
154,2034,normal
155,2165,normal
156,1909,normal
157,2029,normal
158,2076,normal
159,2086,normal
160,2016,normal
161,2035,normal
162,2047,normal
163,2017,normal
164,2050,normal
165,2049,normal
166,1964,normal
167,2074,normal
168,2043,normal
169,2059,normal
170,2045,normal
171,1959,normal
172,2052,normal
173,2032,normal
174,2081,normal
175,2020,normal
176,1973,normal
177,2065,normal
178,2154,normal
179,2045,normal
180,2027,normal
181,2085,normal
182,2044,normal
183,2074,normal
184,2107,normal
185,2010,normal
186,1930,normal
187,2040,normal
188,1956,normal
189,2084,normal
190,2021,normal
